transaction_id,transaction_ts,store_code,store_name,region,product_sku,product_name,category,subcategory,customer_id,customer_segment,payment_type,qty,unit_price,discount_pct,promo_flag,extended_amount,unit_cost,profit
TXN00038684,2024-08-22 12:50:39,S017,Columbus Plaza Store,Midwest,P000495,Deluxe Bedding Gray 1,Home & Garden,Bedding,C015215,Consumer,Cash,1,146.37,0.0,0,146.37,84.45,61.92
TXN00064940,03/10/2024 5:08 PM,S055,Rochester Retail Center,Northeast,P000809,Classic Skincare Green 18,Health & Beauty,Skincare,C011281,Corporate,Credit,4,84.53,0.0,0,338.12,41.36,172.68
TXN00003955,2024-02-15 20:53:56,S018,Indianapolis Outlet,Midwest,P000711,Signature Dairy Red 19,Grocery,Dairy,C024406,Corporate,Debit,4,3.07,0.0,0,12.28,2.03,4.16
TXN00120375,06/11/2023 1:17 PM,S009,Boise Market,West,P000916,Advanced Fitness Black 26,Sports,Fitness Equipment,C020318,Consumer,Cash,2,876.82,0.0,0,1753.64,470.61,812.42
TXN00172862,2023-08-05 18:16:10,S057,Bridgeport Market,Northeast,P000820,Express Skincare Silver 29,Health & Beauty,Skincare,C019615,Corporate,Cash,4,89.93,0.0,0,359.72,37.79,208.56
TXN00149304,2024-02-06 10:46:13,S004,Portland Depot,West,P000127,Signature Audio Navy 29,Electronics,Audio,C011486,Home Office,Credit,3,175.15,0.0,0,525.45,105.64,208.53
TXN00111627,08/16/2023 9:04 AM,S027,Des Moines Market,Midwest,P000879,Select Vitamins Silver 88,Health & Beauty,Vitamins,C019574,Consumer,Debit,2,43.29,0.0,0,86.58,22.67,41.24
TXN00164554,05/06/2024 10:15 AM,S048,Boston Outlet,Northeast,P000878,Express Vitamins White 87,Health & Beauty,Vitamins,C012756,Corporate,Debit,2,40.53,0.0,0,81.06,18.78,43.5
TXN00055780,2024-05-10 11:14:04,S018,Indianapolis Outlet,Midwest,P000981,Classic Board Beige 91,Toys & Games,Board Games,C002879,Consumer,Credit,6,73.63,0.3228,1,299.17,40.72,54.85
TXN00141991,2024-12-22 10:53:42,S005,Phoenix Plaza Store,West,P000572,Elite Outdoor Green 78,Home & Garden,Outdoor,C009974,Corporate,Debit,3,391.8,0.2855,1,839.82,245.34,103.8
TXN00176729,2024-07-25 18:58:16,S018,Indianapolis Outlet,Midwest,P000923,Express Fitness Silver 33,Sports,Fitness Equipment,C015437,Home Office,Credit,1,772.32,0.0,0,772.32,390.95,381.37
TXN00022050,2024-01-21 18:00:10,S058,Allentown Depot,Northeast,P000715,Premium Dairy Gray 23,Grocery,Dairy,C002580,Consumer,Credit,3,4.38,0.0,0,13.14,2.86,4.56
TXN00077432,2024-11-26 20:54:45,S044,Richmond Superstore,South,P000525,Smart Tools Navy 31,Home & Garden,Tools,C018534,Corporate,Apple Pay,2,173.73,0.1488,0,295.76,95.4,104.96
TXN00111500,2024-09-03 15:56:56,S034,Dallas Depot,South,P000105,Essential Accessories Brown 7,Electronics,Accessories,C005362,Consumer,Cash,1,30.09,0.0,0,30.09,15.51,14.58
TXN00228765,2024-04-21 13:52:38,S009,Boise Market,West,P000936,Ultra Outdoor Blue 46,Sports,Outdoor Recreation,C003826,Home Office,Debit,3,94.37,0.0,0,283.11,45.49,146.64
TXN00029676,2024-12-28 20:38:45,S001,Los Angeles Retail Center,West,P000066,Active Tablets Navy 67,Electronics,Tablets,C014185,Consumer,Debit,1,861.22,0.0,0,861.22,502.04,359.18
TXN00036727,2023-10-12 12:09:14,S033,Miami Market,South,P000251,Pro Women's Red 54,Apparel,Women's Clothing,C019907,Corporate,Debit,3,60.51,0.0,0,181.53,18.7,125.43
TXN00075960,2023-12-24 10:08:47,S024,Cleveland Outlet,Midwest,P000746,Select Bakery Navy 54,Grocery,Bakery,C009716,Consumer,Credit,2,19.77,0.0,0,39.54,11.02,17.5
TXN00247466,2023-02-15 19:29:05,S060,Yonkers Outlet,Northeast,P000261,Advanced Women's Silver 64,Apparel,Women's Clothing,C021597,Consumer,Cash,3,78.4,0.0,0,235.2,29.87,145.59
TXN00128857,08/03/2024 5:23 PM,S056,Worcester Superstore,Northeast,P000884,Advanced Vitamins Navy 93,Health & Beauty,Vitamins,C022266,Corporate,Credit,4,58.91,0.0,0,235.64,28.79,120.48
TXN00034525,2023-12-15 17:40:28,S044,Richmond Superstore,South,P001181,Standard Luxury Black 93,Premium,Luxury Watches,C010622,Consumer,Credit,2,3120.28,0.3182,1,4254.81,979.26,2296.29
TXN00114952,2024-02-10 11:04:43,S057,Bridgeport Market,Northeast,P000597,Standard Beverages Silver 4,Grocery,Beverages,C001730,Home Office,Gift Card,4,2.02,0.0299,0,7.84,1.2,3.04
TXN00101079,10/15/2023 4:58 PM,S013,Sacramento Retail Center,West,P000849,Signature Hair Beige 58,health & beauty,Hair Care,C011436,Consumer,Gift Card,6,11.63,0.3213,1,47.36,6.14,10.52
TXN00209307,2024-01-13 16:12:29,S020,Minneapolis Superstore,Midwest,P000424,Essential Kitchen Brown 29,Home & Garden,Kitchen,C006962,Consumer,Gift Card,1,142.92,0.0,0,142.92,70.97,71.95
TXN00123692,2024-05-03 14:52:36,S011,Tucson Plaza Store,West,P000966,Ultra Board Brown 76,Toys & Games,Board Games,C023066,Consumer,Apple Pay,3,44.5,0.0,0,133.5,22.95,64.65
