product_sku,product_name,category,subcategory
P000452,Premium Kitchen Red 57,Home & Garden,Kitchen
P000374,Deluxe Furniture Red 78,Home & Garden,Furniture
P001049,Essential Stationery Red 60,Office Supplies,Stationery
P001099,Elite Printers Beige 11,Office Supplies,Printers & Ink
P000077,Advanced Tablets Blue 78,Electronics,Tablets
P001169,Advanced Luxury Blue 81,Premium,Luxury Watches
P000352,Classic Sportswear Navy 56,Apparel,Sportswear
P000249,Signature Women's Navy 52,Apparel,Women's Clothing
P001088,Active Printers White 99,Office Supplies,Printers & Ink
P000897,Deluxe Fitness Blue 7,Sports,Fitness Equipment
P000254,Elite Women's Silver 57,Apparel,Women's Clothing
P000920,Premium Fitness Black 30,Sports,Fitness Equipment
P001085,Signature Printers Green 96,Office Supplies,Printers & Ink
P000165,Classic Men's Black 67,Apparel,Men's Clothing
P000135,Select Audio White 37,Electronics,Audio
P000935,Ultra Outdoor White 45,Sports,Outdoor Recreation
P001130,Standard Car Green 42,Automotive,Car Accessories
P000684,Pro Snacks Gray 91,Grocery,Snacks
P000761,Pro Bakery Beige 69,Grocery,Bakery
P000055,Premium Laptops Silver 56,Electronics,Laptops
P000210,Signature Men's White 13,Apparel,Men's Clothing
P000617,Pro Beverages Beige 24,Grocery,Beverages
P000112,Premium Accessories Blue 14,Electronics,Accessories
P000192,Active Men's Brown 94,Apparel,Men's Clothing
P000376,Standard Furniture Blue 80,Home & Garden,Furniture
P000691,Select Snacks Blue 98,Grocery,Snacks
P000767,Express Bakery Green 75,Grocery,Bakery
P000236,Select Women's Red 39,Apparel,Women's Clothing
P001160,Ultra Maintenance Gray 72,Automotive,Maintenance
P000652,Smart Snacks Brown 59,Grocery,Snacks
P000142,Deluxe Audio Navy 44,Electronics,Audio
P000975,Pro Board Beige 85,Toys & Games,Board Games
P000474,Signature Bedding Red 79,Home & Garden,Bedding
P000066,Active Tablets Navy 67,Electronics,Tablets
P000965,Standard Board Navy 75,Toys & Games,Board Games
P001168,Active Maintenance Silver 80,Automotive,Maintenance
P000790,Pro Skincare Silver 98,Health & Beauty,Skincare
P000057,Essential Laptops Silver 58,Electronics,Laptops
P000618,Pro Beverages Red 25,Grocery,Beverages
P000353,Active Sportswear Gray 57,Apparel,Sportswear
P000195,Express Men's White 97,Apparel,Men's Clothing
P001056,Signature Stationery Black 67,Office Supplies,Stationery
P000622,Ultra Beverages Red 29,Grocery,Beverages
P000742,Advanced Bakery Silver 50,Grocery,Bakery
P000054,Pro Laptops White 55,Electronics,Laptops
P000148,Standard Audio Red 50,Electronics,Audio
P000864,Elite Hair Green 73,Health & Beauty,Hair Care
P000554,Signature Outdoor Black 60,Home & Garden,Outdoor
P001090,Pro Printers Navy 2,Office Supplies,Printers & Ink
